# Columns:
# QSO_ID = QSO name
# z_abs = absorber redshift
# N(HI) = HI column density
# sig(N(HI)) = HI column density error
# [M/H] = metallicity
# sig([M/H]) = metallicity error
# log_Z = log of metal abundance by mass
# log_DTG = log of dust-to-gas ratio
# log_DTM = log of dust-to-metal ratio
QSO_ID,z_abs,N(HI),sig(N(HI)),[M/H],sig([M/H]),log_Z,log_DTG,log_DTM
J1304+1202,2.929,20.3,0.15,-1.28,0.17,-3.15,-4.078,-0.927
J1304+1202,2.913,20.55,0.15,-1.25,0.18,-3.135,-3.777,-0.642
J1305+0924,2.018,20.4,0.15,0.024,0.22,-1.858,-2.531,-0.673
J1310+5424,1.801,21.45,0.15,-0.113,0.18,-2.013,-2.55,-0.537
J1340+1106,2.796,21.0,0.06,-1.48,0.09,-3.35,-4.389,-1.039
J1356−1101,2.967,20.8,0.1,-1.17,0.15,-3.04,-4.273,-1.233
J1358+0349,2.853,20.5,0.1,-2.25,0.22,-4.12,-5.562,-1.442
J1417+4132,1.951,21.45,0.25,-0.124,0.27,-2.026,-2.548,-0.522
J1419+0829,3.05,20.4,0.03,-1.75,0.08,-3.62,-5.062,-1.442
J1431+3952,0.602,21.2,0.1,-0.399,0.25,-2.296,-2.852,-0.556
J1438+4314,4.399,20.89,0.15,-0.765,0.22,-2.659,-3.235,-0.576
J1454+0941,1.788,20.5,0.15,0.0,0.21,-1.885,-2.527,-0.642
J1456+0407,2.674,20.35,0.1,-1.75,0.17,-3.62,-4.362,-0.742
J1507+4406,3.064,20.75,0.1,-1.72,0.16,-3.59,-4.852,-1.262
J1509+1113,2.028,21.3,0.15,-0.437,0.19,-2.321,-2.968,-0.647
J1541+3153,2.444,20.95,0.1,-0.842,0.2,-2.732,-3.333,-0.601
J1555+4800,2.391,21.5,0.15,-0.092,0.18,-1.996,-2.509,-0.513
J1558−0031,2.703,20.67,0.05,-1.52,0.09,-3.39,-4.86,-1.47
J1604+3951,3.163,21.75,0.2,-0.866,0.22,-2.748,-3.417,-0.67
J1607+1604,4.474,20.3,0.15,-1.27,0.23,-3.14,-4.61,-1.47
J1623+0718,1.336,21.35,0.1,-0.671,0.16,-2.551,-3.232,-0.681
J1637+2901,3.496,20.7,0.1,-1.75,0.21,-3.62,-5.09,-1.47
J1712+5755,2.253,20.6,0.1,-0.9,0.14,-2.77,-3.616,-0.846
J2036−0553,2.28,21.2,0.15,-1.36,0.2,-3.23,-4.269,-1.039
J2321+1421,2.573,20.7,0.05,-1.49,0.1,-3.36,-4.83,-1.47
J2328+0022,0.652,20.32,0.07,-0.12,0.18,-1.997,-2.709,-0.712
J2340−00,2.054,20.35,0.15,0.054,0.19,-1.828,-2.497,-0.67
PC0953+4749,4.243,20.9,0.15,-1.79,0.18,-3.66,-4.823,-1.163
PKS1354−17,2.78,20.3,0.15,-1.235,0.19,-3.126,-3.723,-0.597
PSS1253−0228,2.783,21.85,0.2,-1.37,0.23,-3.24,-4.095,-0.855
PSS1443+2724,4.224,20.95,0.1,-0.3,0.13,-2.17,-2.933,-0.763
PSS1506+5220,3.224,20.67,0.07,-1.83,0.11,-3.7,-5.17,-1.47
PSS1802+5616,3.811,20.35,0.2,-1.61,0.25,-3.48,-4.95,-1.47
PSS2323+2758,3.684,20.95,0.1,-1.799,0.18,-3.689,-4.294,-0.605
PSSJ0808+52,3.114,20.65,0.07,-1.19,0.16,-3.06,-3.906,-0.846
PSSJ0957+33,4.178,20.7,0.1,-1.26,0.13,-3.13,-3.976,-0.846
PSSJ0957+33,3.279,20.45,0.08,-0.71,0.12,-2.587,-3.299,-0.712
PSSJ1248+31,3.696,20.63,0.07,-1.25,0.11,-3.12,-3.849,-0.729
PSSJ2155+1358,3.316,20.5,0.15,-0.7,0.38,-2.57,-3.316,-0.746
PSSJ2344+0342,3.22,21.25,0.08,-1.38,0.35,-3.25,-4.605,-1.355
Q0000−262,3.39,21.41,0.08,-1.76,0.12,-3.63,-5.072,-1.442
Q0010−002,2.025,20.95,0.1,-0.97,0.14,-2.84,-4.31,-1.47
Q0013−004,1.973,20.83,0.05,-0.323,0.1,-2.223,-2.76,-0.537
Q0027−1836,2.402,21.75,0.1,-1.203,0.13,-3.096,-3.675,-0.579
Q0039−3354,2.224,20.6,0.1,-0.94,0.13,-2.81,-3.633,-0.823
Q0049−2820,2.071,20.45,0.1,-1.04,0.13,-2.91,-4.38,-1.47
Q0058−292,2.671,21.1,0.1,-1.13,0.13,-3.0,-3.782,-0.782
