Name,MHI_MSUN,MHI_UNC_PCT,12+log(O/H),MH2_MW_MSUN,MH2_Z_MSUN,MDUST_MSUN,MU_GAL,DGR_MW,DGR_Z
MGC+02-04-025,1.74E+009,16.08,8.52,0,0,1.01E+008,1.39,0.0417596957,0.0417596957
NGC7469,1.51E+009,16.08,8.7,6.28E+009,6.00E+009,1.55E+008,1.4,0.0142123602,0.0147422484
NGC5953,5.75E+008,16.08,8.73,1.62E+009,1.34E+009,2.25E+007,1.39,0.0073745104,0.0084527678
M51,5.01E+009,5.63,8.55,3.95E+009,7.53E+009,3.74E+008,1.39,0.0300295478,0.021456519
NGC3995,6.17E+009,16.08,8.66,0,0,5.75E+007,1.4,0.0066566335,0.0066566335
NGC3994,2.82E+009,16.08,8.61,0,0,5.27E+007,1.39,0.0134445635,0.0134445635
NGC6052,3.80E+009,16.08,8.65,3.00E+009,3.61E+009,5.84E+007,1.4,0.0061344538,0.0056294583
NGC1222,1.20E+009,16.08,8.57,7.23E+008,1.26E+009,1.33E+007,1.39,0.0049757386,0.0038895713
NGC7674,1.07E+010,16.08,8.14,6.34E+009,7.99E+010,9.83E+007,1.38,0.0041802749,0.0007862239
NGC4670,1.66E+008,16.08,8.3,9.00E+006,5.42E+007,1.13E+006,1.38,0.004679089,0.0037186221
